Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Royal Link Chain,royal-link-chain-chains,"Royal Link Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Chains,"Royal Spark,Chains,Luxury,Gold",TRUE,Active,RS-CHA-001,880000000001,,,,,,,,,,2490.00,2938.20,1195.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/6wsdgjdk_de550993-6d1f-44b3-a299-5e507be1f0e6.jpg,1,Royal Link Chain by Royal Spark,,FALSE,Royal Link Chain | Royal Spark Jewelry,"Royal Link Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-001,Chains,"Luxury, Jewelry",new,TRUE,Chains,Royal Spark,Luxury,Import Batch 1,
Midnight Cuban Chain,midnight-cuban-chain-chains,"Midnight Cuban Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Chains,"Royal Spark,Chains,Luxury,Gold",TRUE,Active,RS-CHA-002,880000000002,,,,,,,,,,2890.00,3410.20,1387.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/6wsdgjdk_de550993-6d1f-44b3-a299-5e507be1f0e6.jpg,1,Midnight Cuban Chain by Royal Spark,,FALSE,Midnight Cuban Chain | Royal Spark Jewelry,"Midnight Cuban Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-002,Chains,"Luxury, Jewelry",new,TRUE,Chains,Royal Spark,Luxury,Import Batch 1,
Imperial Rope Chain,imperial-rope-chain-chains,"Imperial Rope Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Chains,"Royal Spark,Chains,Luxury,Gold",TRUE,Active,RS-CHA-003,880000000003,,,,,,,,,,2190.00,2584.20,1051.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/6wsdgjdk_de550993-6d1f-44b3-a299-5e507be1f0e6.jpg,1,Imperial Rope Chain by Royal Spark,,FALSE,Imperial Rope Chain | Royal Spark Jewelry,"Imperial Rope Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-003,Chains,"Luxury, Jewelry",new,TRUE,Chains,Royal Spark,Luxury,Import Batch 1,
Diamond Bezel Chain,diamond-bezel-chain-chains,"Diamond Bezel Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Chains,"Royal Spark,Chains,Luxury,Gold",TRUE,Active,RS-CHA-004,880000000004,,,,,,,,,,3590.00,4236.20,1723.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/6wsdgjdk_de550993-6d1f-44b3-a299-5e507be1f0e6.jpg,1,Diamond Bezel Chain by Royal Spark,,FALSE,Diamond Bezel Chain | Royal Spark Jewelry,"Diamond Bezel Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-004,Chains,"Luxury, Jewelry",new,TRUE,Chains,Royal Spark,Luxury,Import Batch 1,
Regal Box Chain,regal-box-chain-chains,"Regal Box Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Chains,"Royal Spark,Chains,Luxury,Gold",TRUE,Active,RS-CHA-005,880000000005,,,,,,,,,,1980.00,2336.40,950.40,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/6wsdgjdk_de550993-6d1f-44b3-a299-5e507be1f0e6.jpg,1,Regal Box Chain by Royal Spark,,FALSE,Regal Box Chain | Royal Spark Jewelry,"Regal Box Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-005,Chains,"Luxury, Jewelry",new,TRUE,Chains,Royal Spark,Luxury,Import Batch 1,
Signature Layer Chain,signature-layer-chain-chains,"Signature Layer Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Chains,"Royal Spark,Chains,Luxury,Gold",TRUE,Active,RS-CHA-006,880000000006,,,,,,,,,,2650.00,3127.00,1272.00,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://customer-assets.emergentagent.com/job_shopify-gems-2/artifacts/6wsdgjdk_de550993-6d1f-44b3-a299-5e507be1f0e6.jpg,1,Signature Layer Chain by Royal Spark,,FALSE,Signature Layer Chain | Royal Spark Jewelry,"Signature Layer Chain by Royal Spark Jewelry. A luxury chain piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-CHA-006,Chains,"Luxury, Jewelry",new,TRUE,Chains,Royal Spark,Luxury,Import Batch 1,
Royal Radiance Bangle,royal-radiance-bangle-bangles,"Royal Radiance Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Bangles,"Royal Spark,Bangles,Luxury,Gold",TRUE,Active,RS-BAN-001,880000000007,,,,,,,,,,3290.00,3882.20,1579.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/21MHBI05056.jpg?v=1744108714,1,Royal Radiance Bangle by Royal Spark,,FALSE,Royal Radiance Bangle | Royal Spark Jewelry,"Royal Radiance Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-BAN-001,Bangles,"Luxury, Jewelry",new,TRUE,Bangles,Royal Spark,Luxury,Import Batch 1,
Diamond Edge Bangle,diamond-edge-bangle-bangles,"Diamond Edge Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Bangles,"Royal Spark,Bangles,Luxury,Gold",TRUE,Active,RS-BAN-002,880000000008,,,,,,,,,,3890.00,4590.20,1867.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/21MHBI05056.jpg?v=1744108714,1,Diamond Edge Bangle by Royal Spark,,FALSE,Diamond Edge Bangle | Royal Spark Jewelry,"Diamond Edge Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-BAN-002,Bangles,"Luxury, Jewelry",new,TRUE,Bangles,Royal Spark,Luxury,Import Batch 1,
Velvet Gold Bangle,velvet-gold-bangle-bangles,"Velvet Gold Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Bangles,"Royal Spark,Bangles,Luxury,Gold",TRUE,Active,RS-BAN-003,880000000009,,,,,,,,,,2790.00,3292.20,1339.20,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/21MHBI05056.jpg?v=1744108714,1,Velvet Gold Bangle by Royal Spark,,FALSE,Velvet Gold Bangle | Royal Spark Jewelry,"Velvet Gold Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-BAN-003,Bangles,"Luxury, Jewelry",new,TRUE,Bangles,Royal Spark,Luxury,Import Batch 1,
Crown Cuff Bangle,crown-cuff-bangle-bangles,"Crown Cuff Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",Royal Spark,Apparel & Accessories > Jewelry,Bangles,"Royal Spark,Bangles,Luxury,Gold",TRUE,Active,RS-BAN-004,880000000010,,,,,,,,,,3450.00,4071.00,1656.00,TRUE,,,,,,shopify,12,DENY,180,g,TRUE,manual,https://supremejewelers.com/cdn/shop/files/21MHBI05056.jpg?v=1744108714,1,Crown Cuff Bangle by Royal Spark,,FALSE,Crown Cuff Bangle | Royal Spark Jewelry,"Crown Cuff Bangle by Royal Spark Jewelry. A luxury bangle piece designed with premium finish, elegant presence, and timeless appeal.",gold; navy,Apparel & Accessories > Jewelry,Unisex,Adult,RS-BAN-004,Bangles,"Luxury, Jewelry",new,TRUE,Bangles,Royal Spark,Luxury,Import Batch 1,
